Дата;Базовый уровень;Изменение кол-ва магазинов;Развитие ecom;Уход конкурентов;Мобилизация;Скидки;COVID;Черная пятница;Площадь магазинов;Праздничные открытия;Праздничные открытия - блогеры;Изменение цен;SMS;Реклама GJ;Реклама конкурентов;COVID - Самоизоляция и закрытие магазинов;Отложенный спрос после самоизоляции
2022_25;2026056,978;409941,4896;-772024,0178;445616,4646;0;249530,3394;-124596,8478;0;357,0581472;116,0154646;0;-550586,5382;154033,6431;163501,038;-121329,7223;0;0
2022_26;1870342,366;374796,2328;-714525,7677;410702,5264;0;231861,8219;-121155,8931;0;368,0323621;21,3851364;0;-495120,5203;24105,83692;424304,4347;-61234,378;0;0
2022_27;1901827,869;381105,5846;-729550,783;410719,9114;0;213992,3464;-126409,2359;0;374,2278503;4,349027123;0;-498430,1206;0,001618038;83127,41871;-142857,4774;0;0
2022_28;1931275,547;387006,5785;-743845,5324;417079,45;0;225239,0396;-117488,0211;0;380,0223502;0,883273389;0;-553226,8996;72587,11383;183606,2638;-148975,5317;0;0
2022_29;2029447,637;406679,1957;-784760,7601;438280,7547;0;294112,2173;-141750,6722;0;399,3399397;0,185634525;0;-652614,2656;145463,3485;205139,7472;-191848,4842;0;0
2022_30;2054563,511;415709,3486;-798858,7335;444423,9269;0;309874,0894;-144896,6973;0;355,7521472;16543,05931;0;-618182,6241;198949,2471;256837,6184;-194032,7125;0;0
2022_31;1951676,421;398688,763;-762983,0537;339227,8631;0;257417,1012;-136760,4676;0;359,9231245;18888,03016;0;-591161,9212;26915,95968;359697,7214;-88093,42043;0;0
2022_32;2029072,793;418446,9185;-797493,3684;353250,1619;0;258835,2287;-129780,1251;0;423,3394759;12262,17227;0;-652208,7644;122759,0839;571025,3564;-131163,6263;0;0
2022_33;2149371,317;443255,5633;-847869,7081;374193,4583;0;245276,9227;-121658,8105;0;455,3136711;11420,01878;0;-726730,779;130037,1552;764524,2196;-148727,3405;0;0
2022_34;2205903,24;454913,8977;-873291,5503;384035,3481;0;223473,6092;-122361,4603;0;467,2891531;2344,076728;0;-736591,9235;88242,17759;852215,9022;-168890,7019;0;0
2022_35;1944044,047;400911,8074;-772326,5477;338447,1354;0;191694,0182;-102334,2866;0;411,8180164;413,1630371;0;-633726,2872;129694,3649;639746,7651;-228052,6053;0;0
2022_36;1644085,633;339052,6792;-655402,8288;282232,2104;0;176321,6622;-120976,1902;0;348,2761026;69,88271837;0;-475104,8042;90564,4663;229928,2254;-244935,8318;0;0
2022_37;1811248,276;377049,7385;-725634,2139;311429,7081;-9605,989531;207191,1881;-139652,5665;0;388,0444193;15,42244562;0;-513428,9906;96295,65726;167702,2972;-277998,2641;0;0
2022_38;1831502,244;381266,0313;-736156,5328;314912,2165;-242835,1708;204297,2427;-163019,3418;0;378,5019951;3,118980885;0;-545327,0163;17394,5658;156989,3169;-277700,5966;0;0
2022_39;1521948,307;310903,837;-611718,4602;260844,0918;-78445,43763;156047,0622;-141910,6282;0;310,7459389;0,516694935;0;-446802,7504;1,04504E-08;118940,5744;-202086,5611;0;0
2022_40;1544488,408;315508,3324;-622720,5903;260961,3442;-28576,94968;179227,7062;-144012,329;0;315,3480958;0,104869441;0;-470524,935;1,01142E-08;93432,80625;-149158,3917;0;0
